[LOG] System::create                           : Header version = 2.02.13. Current version = 2.02.13.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0x0.
[LOG] SystemI::init                            : Initialize version=20213 (132591), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD Core Audio Output'
[LOG] OutputCoreAudio::init                    : Output running 2 channels at 96000Hz sample rate.
[LOG] OutputCoreAudio::init                    : Maximum hardware read size: 512 samples, Software buffer size: 512 samples, Number of software buffers: 4.
[LOG] SystemI::init                            : Output requires a sample rate of 96000Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: Yes, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0x2da5f5a08 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[WRN] PlaylistInstrumentInstance::startFullLengthHook : Attempting to schedule a sound in the past, this could cause inaccurate playback.
[LOG] SoundI::release                          : Wind (0x2b35e7578)
[LOG] SoundI::release                          :     LandingOnRock-011 (0x2cfff7738)
[LOG] SoundI::release                          :  (0x2cfffbd58)
[LOG] SoundI::release                          :     LandingOnRock-012 (0x2cfffbec8)
[LOG] SoundI::release                          :  (0x2b378df48)
[LOG] SoundI::release                          :     LandingOnRock-013 (0x2caf6b578)
[LOG] SoundI::release                          :  (0x2cffeeac8)
[LOG] SoundI::release                          :     LandingOnRock-014 (0x2cffeec38)
[LOG] SoundI::release                          :  (0x2cffff298)
[LOG] SoundI::release                          :     LandingOnRock-015 (0x2cffd2a18)
[LOG] SoundI::release                          :  (0x2dd4b5b58)
[LOG] SoundI::release                          :     LandingOnRock-016 (0x1200feff8)
[LOG] SoundI::release                          :  (0x2cff2e488)
[LOG] SoundI::release                          :     LandingOnRock-017 (0x2cff04128)
[LOG] SoundI::release                          :  (0x2dd4ab1c8)
[LOG] SoundI::release                          :     LandingOnRock-018 (0x1200bbcc8)
[LOG] SoundI::release                          :  (0x2d836e1b8)
[LOG] SoundI::release                          :     LandingOnRock-019 (0x2d836e328)
[LOG] SoundI::release                          :  (0x2cfffcba8)
[LOG] SoundI::release                          :     LandingOnGrass-001 (0x2cfffcd18)
[LOG] SoundI::release                          :  (0x2dd46daa8)
[LOG] SoundI::release                          :     LandingOnGrass-002 (0x2a576e988)
[LOG] SoundI::release                          :  (0x2cfff3968)
[LOG] SoundI::release                          :     LandingOnGrass-003 (0x2cfff3ad8)
[LOG] SoundI::release                          :  (0x2b36c1978)
[LOG] SoundI::release                          :     LandingOnGrass-004 (0x2d1930078)
[LOG] SoundI::release                          :  (0x2d19f2ab8)
[LOG] SoundI::release                          :     LandingOnGrass-005 (0x2e9504088)
[LOG] SoundI::release                          :  (0x2caf6b1c8)
[LOG] SoundI::release                          :     LandingOnGrass-006 (0x2e95f4858)
[LOG] SoundI::release                          :  (0x2cfff4958)
[LOG] SoundI::release                          :     LandingOnGrass-007 (0x2cfff4ac8)
[LOG] SoundI::release                          :  (0x2cff50f18)
[LOG] SoundI::release                          :     LandingOnGrass-008 (0x2cfffd888)
[LOG] SoundI::release                          :  (0x2cffd3e68)
[LOG] SoundI::release                          :     LandingOnGrass-009 (0x2cffd3fd8)
[LOG] SoundI::release                          :  (0x2d836ef68)
[LOG] SoundI::release                          :     LandingOnGrass-010 (0x2d836f0d8)
[LOG] SoundI::release                          :  (0x2cffdcf98)
[LOG] SoundI::release                          :     LandingOnGrass-011 (0x2cff52e88)
[LOG] SoundI::release                          :  (0x2dd4f9688)
[LOG] SoundI::release                          :     Door_Opening (0x12008db98)
[LOG] SoundI::release                          :  (0x2cfffd048)
[LOG] SoundI::release                          :     Door_Closing (0x2cfffd1b8)
[LOG] SoundI::release                          :  (0x2cfff9428)
[LOG] SoundI::release                          :     UI_cancel_back (0x2cfff9598)
[LOG] SoundI::release                          :  (0x2cffe5328)
[LOG] SoundI::release                          :     UI_up_down (0x2cffe9af8)
[LOG] SoundI::release                          :  (0x2cfffc288)
[LOG] SoundI::release                          :     Jump_Landing_Water-001 (0x2cfffc3f8)
[LOG] SoundI::release                          :  (0x2cff2e968)
[LOG] SoundI::release                          :     Jump_Landing_Water-002 (0x2cfffa1d8)
[LOG] SoundI::release                          :  (0x2cffecf68)
[LOG] SoundI::release                          :     Jump_Landing_Water-003 (0x2cffd2ef8)
[LOG] SoundI::release                          :  (0x2cffd62d8)
[LOG] SoundI::release                          :     Jump_Landing_Water-004 (0x2cffd6448)
[LOG] SoundI::release                          :  (0x2cfff44c8)
[LOG] SoundI::release                          :     FS_Grass-001 (0x2cfff4638)
[LOG] SoundI::release                          :  (0x2cfff6558)
[LOG] SoundI::release                          :     FS_Grass-002 (0x2cfff66c8)
[LOG] SoundI::release                          :  (0x2cfff7a58)
[LOG] SoundI::release                          :     FS_Grass-003 (0x2cfff7bc8)
[LOG] SoundI::release                          :  (0x2cfff20e8)
[LOG] SoundI::release                          :     FS_Grass-004 (0x2cfff2258)
[LOG] SoundI::release                          :  (0x2d8371878)
[LOG] SoundI::release                          :     FS_Grass-005 (0x2cfffe1b8)
[LOG] SoundI::release                          :  (0x2dd474868)
[LOG] SoundI::release                          :     FS_Grass-006 (0x2a57e3038)
[LOG] SoundI::release                          :  (0x2cfff9f08)
[LOG] SoundI::release                          :     FS_Grass-009 (0x2cfff8c78)
[LOG] SoundI::release                          :  (0x2cffe7808)
[LOG] SoundI::release                          :     FS_Grass-010 (0x2cffe0a88)
[LOG] SoundI::release                          :  (0x2cfff1338)
[LOG] SoundI::release                          :     FS_Grass-011 (0x2cfff14a8)
[LOG] SoundI::release                          :  (0x2d836ead8)
[LOG] SoundI::release                          :     FS_Grass-012 (0x2d836ec48)
[LOG] SoundI::release                          :  (0x2cfff34d8)
[LOG] SoundI::release                          :     FS_Grass-013 (0x2cfff3648)
[LOG] SoundI::release                          :  (0x2cffee638)
[LOG] SoundI::release                          :     FS_Grass-014 (0x2cffee7a8)
[LOG] SoundI::release                          :  (0x2d836f888)
[LOG] SoundI::release                          :     FS_Grass-015 (0x2d836f9f8)
[LOG] SoundI::release                          :  (0x2cffe0728)
[LOG] SoundI::release                          :     FS_Grass-016 (0x2cfffac98)
[LOG] SoundI::release                          :  (0x2cffd2548)
[LOG] SoundI::release                          :     FS_Grass-017 (0x2cffae0f8)
[LOG] SoundI::release                          :  (0x2cfffe818)
[LOG] SoundI::release                          :     FS_Water-003 (0x2cfffe988)
[LOG] SoundI::release                          :  (0x2dd4dd3c8)
[LOG] SoundI::release                          :     FS_Water-005 (0x1200b9a58)
[LOG] SoundI::release                          :  (0x2cfff98b8)
[LOG] SoundI::release                          :     FS_Water-002 (0x2cfff9a28)
[LOG] SoundI::release                          :  (0x2cfff82c8)
[LOG] SoundI::release                          :     FS_Water-004 (0x2cfff8438)
[LOG] SoundI::release                          :  (0x2cffecc48)
[LOG] SoundI::release                          :     FS_Water-006 (0x2cff170d8)
[LOG] SoundI::release                          :  (0x2cffff868)
[LOG] SoundI::release                          :     FS_Water-007 (0x2cffff9d8)
[LOG] SoundI::release                          :  (0x2dd4ce9d8)
[LOG] SoundI::release                          :     FS_Water-008 (0x1200d5df8)
[LOG] SoundI::release                          :  (0x2cffd37b8)
[LOG] SoundI::release                          :     FS_Water-009 (0x2cffc9db8)
[LOG] SoundI::release                          :  (0x2d836fd18)
[LOG] SoundI::release                          :     Footsteps-001 (0x2d836fe88)
[LOG] SoundI::release                          :  (0x2dd484428)
[LOG] SoundI::release                          :     Footsteps-002 (0x2a57d87d8)
[LOG] SoundI::release                          :  (0x2caf6d768)
[LOG] SoundI::release                          :     Footsteps-003 (0x2e95c4c78)
[LOG] SoundI::release                          :  (0x2cfff8f98)
[LOG] SoundI::release                          :     Footsteps-004 (0x2cfff9108)
[LOG] SoundI::release                          :  (0x2dd461a98)
[LOG] SoundI::release                          :     Footsteps-005 (0x2a5f996e8)
[LOG] SoundI::release                          :  (0x2cfff17c8)
[LOG] SoundI::release                          :     Footsteps-006 (0x2cfff1938)
[LOG] SoundI::release                          :  (0x2dd464938)
[LOG] SoundI::release                          :     Footsteps-007 (0x2a5fca938)
[LOG] SoundI::release                          :  (0x2cff27dc8)
[LOG] SoundI::release                          :     Footsteps-008 (0x2cffdd5f8)
[LOG] SoundI::release                          :  (0x2caf6bfb8)
[LOG] SoundI::release                          :     Footsteps-009 (0x2e956cf18)
[LOG] SoundI::release                          :  (0x2cfff8758)
[LOG] SoundI::release                          :     Footsteps-010 (0x2cfff88c8)
[LOG] SoundI::release                          :  (0x2cffe38a8)
[LOG] SoundI::release                          :     Footsteps-011 (0x2cffdd3a8)
[LOG] SoundI::release                          :  (0x2cffb3088)
[LOG] SoundI::release                          :     Footsteps-012 (0x2cffecab8)
[LOG] SoundI::release                          :  (0x2cffffcf8)
[LOG] SoundI::release                          :     Footsteps-013 (0x2cffffe68)
[LOG] SoundI::release                          :  (0x2dd461408)
[LOG] SoundI::release                          :     Footsteps-014 (0x2a5fa7108)
[LOG] SoundI::release                          :  (0x2b36a1e28)
[LOG] SoundI::release                          :     Footsteps-015 (0x2e958d488)
[LOG] SoundI::release                          :  (0x2cfff57a8)
[LOG] SoundI::release                          :     Footsteps-016 (0x2cfff5918)
[LOG] SoundI::release                          :  (0x2cfffa878)
[LOG] SoundI::release                          :     Footsteps-017 (0x2cfffa9e8)
[LOG] SoundI::release                          :  (0x2cfffdcc8)
[LOG] SoundI::release                          :     Footsteps-018 (0x2cfffde38)
[LOG] SoundI::release                          :  (0x2cffdd108)
[LOG] SoundI::release                          :     Footsteps-019 (0x2cfff4158)
[LOG] SoundI::release                          :  (0x2cff52558)
[LOG] SoundI::release                          :     Footsteps-020 (0x2cffff548)
[LOG] SoundI::release                          :  (0x2cfffb508)
[LOG] SoundI::release                          :     FS_Rock-001 (0x2cfffb678)
[LOG] SoundI::release                          :  (0x2cff26e98)
[LOG] SoundI::release                          :     FS_Rock-002 (0x2cffe7558)
[LOG] SoundI::release                          :  (0x2dd4be0f8)
[LOG] SoundI::release                          :     FS_Rock-003 (0x1200a2458)
[LOG] SoundI::release                          :  (0x2cfff3048)
[LOG] SoundI::release                          :     FS_Rock-004 (0x2cfff31b8)
[LOG] SoundI::release                          :  (0x2cfff2728)
[LOG] SoundI::release                          :     FS_Rock-005 (0x2cfff2898)
[LOG] SoundI::release                          :  (0x2cfffed78)
[LOG] SoundI::release                          :     FS_Rock-006 (0x2cfffeee8)
[LOG] SoundI::release                          :  (0x2cff27578)
[LOG] SoundI::release                          :     FS_Rock-007 (0x2cff2b9a8)
[LOG] SoundI::release                          :  (0x2d83701a8)
[LOG] SoundI::release                          :     FS_Rock-008 (0x2d8370318)
[LOG] SoundI::release                          :  (0x2d8370638)
[LOG] SoundI::release                          :     FS_Rock-009 (0x2d83707a8)
[LOG] SoundI::release                          :  (0x2dd4a7a18)
[LOG] SoundI::release                          :     FS_Rock-010 (0x2a572d578)
[LOG] SoundI::release                          :  (0x2cfff1c58)
[LOG] SoundI::release                          :     FS_Rock-011 (0x2cfff1dc8)
[LOG] SoundI::release                          :  (0x2cfffd4d8)
[LOG] SoundI::release                          :     FS_Rock-012 (0x2cfffd648)
[LOG] SoundI::release                          :  (0x2cfffb148)
[LOG] SoundI::release                          :     FS_Rock-013 (0x2cfff6e48)
[LOG] SoundI::release                          :  (0x2cffc9b68)
[LOG] SoundI::release                          :     FS_Rock-014 (0x2cffb1168)
[LOG] SoundI::release                          :  (0x2cfff51e8)
[LOG] SoundI::release                          :     FS_Rock-015 (0x2cfff5358)
[LOG] SoundI::release                          :  (0x2cff3c408)
[LOG] SoundI::release                          :     FS_Rock-016 (0x2cff30d18)
[LOG] SoundI::release                          :  (0x2d83713e8)
[LOG] SoundI::release                          :     FS_Rock-017 (0x2d8371558)
[LOG] SoundI::release                          :  (0x2cfff69e8)
[LOG] SoundI::release                          :     FS_Rock-018 (0x2cfff4ec8)
[LOG] SoundI::release                          :  (0x2cff2e7d8)
[LOG] SoundI::release                          :     FS_Rock-019 (0x2cffd66f8)
[LOG] Thread::callback                         : FMOD Convolution thread finished.
[LOG] Thread::callback                         : FMOD Convolution thread finished.
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] ProfileClient::markForDead               : Closing client connection
[ERR] FMOD_OS_Net_Read                         : read failed with errno 9
[LOG] Thread::callback                         : FMOD profiler thread (send) finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[ERR] ProfileClient::recvThreadLoopFunction    : Recv thread loop returned 43
[LOG] Thread::callback                         : FMOD profiler thread (recv) finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
[LOG] Thread::callback                         : FMOD nonblocking thread (0) finished.
[LOG] Thread::callback                         : FMOD file thread finished.
